,id,date,amount
0,1,2015-10-16,75.0
1,1,2014-02-11,111.0
2,1,2012-03-28,93.0
3,1,2013-12-13,113.0
4,1,2012-01-10,93.0
5,1,2015-04-22,85.0
6,1,2014-03-05,109.0
7,2,2015-04-30,53.0
8,2,2012-06-05,101.0
9,2,2014-01-18,86.0
10,2,2013-12-04,74.0
11,2,2013-09-05,133.0
12,2,2012-09-29,85.0
13,3,2016-03-31,90.0
14,3,2014-07-26,89.0
15,3,2011-02-01,101.0
16,3,2014-07-06,56.0
17,3,2015-06-13,94.0
18,3,2015-04-20,91.0
19,3,2015-02-25,71.0
20,3,2013-01-19,101.0
21,3,2012-08-22,80.0
22,3,2012-10-11,88.0
23,3,2014-04-23,66.0
24,3,2016-02-10,121.0
25,3,2011-06-24,90.0
26,4,2016-12-29,106.0
27,4,2016-06-08,128.0
28,4,2015-08-09,113.0
29,4,2014-04-06,137.0
30,5,2016-07-14,104.0
31,5,2015-02-10,116.0
32,5,2012-07-13,95.0
33,5,2010-06-26,91.0
34,5,2010-10-18,85.0
35,5,2011-08-05,86.0
36,6,2016-03-13,156.0
37,6,2013-11-13,71.0
38,6,2014-08-04,135.0
39,7,2014-08-17,59.0
40,7,2010-06-05,105.0
41,7,2013-11-19,104.0
42,7,2013-03-11,89.0
43,7,2011-04-27,95.0
44,7,2011-01-21,92.0
45,7,2013-01-12,102.0
46,7,2012-09-21,58.0
47,7,2014-03-10,114.0
48,8,2017-02-13,111.0
49,8,2014-03-27,92.0
50,8,2016-02-17,133.0
51,8,2015-07-05,95.0
52,8,2013-06-28,98.0
53,8,2011-10-18,128.0
54,9,2015-11-12,101.0
55,9,2011-03-10,68.0
56,9,2012-08-04,126.0
57,9,2014-09-07,103.0
58,9,2013-12-03,93.0
59,9,2010-11-26,124.0
60,9,2015-06-30,113.0
61,9,2014-10-23,111.0
62,10,2016-05-07,129.0
63,10,2015-01-26,119.0
64,11,2017-02-24,96.0
65,11,2015-08-09,79.0
66,11,2014-08-04,60.0
67,11,2011-11-26,114.0
68,11,2012-09-11,118.0
69,11,2010-08-12,81.0
70,11,2015-10-08,85.0
71,11,2012-11-07,81.0
72,11,2014-11-29,77.0
73,12,2016-02-04,108.0
74,12,2015-03-16,118.0
75,12,2013-07-14,89.0
76,12,2012-06-20,122.0
77,12,2015-01-28,107.0
78,12,2012-05-12,111.0
79,12,2010-10-02,71.0
80,12,2010-08-10,112.0
81,12,2015-09-07,122.0
82,12,2015-08-09,106.0
83,13,2016-08-03,98.0
84,14,2017-04-09,148.0
85,14,2013-10-31,118.0
86,14,2011-06-19,95.0
87,14,2012-01-02,130.0
88,15,2016-03-23,153.0
89,15,2014-07-20,89.0
90,15,2011-10-09,103.0
91,15,2012-10-10,80.0
92,15,2013-04-25,115.0
93,15,2014-07-06,85.0
94,15,2012-01-09,131.0
95,16,2016-12-09,94.0
96,16,2016-03-05,96.0
97,16,2012-11-17,88.0
98,16,2016-08-22,103.0
99,16,2014-02-25,77.0
100,17,2017-10-17,110.0
101,17,2012-05-05,89.0
102,17,2015-06-22,97.0
103,17,2013-07-18,99.0
104,17,2012-07-30,85.0
